,Control_1,Control_2,Control_3,Control_4,Mlp37347_1,Mlp37347_2,Mlp37347_3,Mlp37347_4,Mlp124499_1,Mlp124499_2,Mlp124499_3,Mlp124499_4
AT1G27470,130,358,300,855,393,367,196,158,266,303,191,378
AT1G27480,132,415,355,952,480,407,260,59,202,215,174,634
AT1G27490,0,0,0,0,0,0,0,0,0,0,0,0
AT1G27500,93,192,183,413,240,211,126,162,126,154,134,198
AT1G27510,507,989,972,2662,1387,1207,692,1475,797,821,815,866
AT1G27520,282,611,682,1537,757,587,336,770,526,657,449,390
AT1G27530,406,859,823,1468,1486,1168,765,615,594,719,824,1094
AT1G27535,0,0,0,0,0,0,0,0,0,0,0,0
AT1G27540,219,545,454,1342,860,734,418,559,433,432,455,504
AT1G27550,0,0,0,2,0,0,0,0,0,0,0,0
AT1G27555,0,0,0,0,0,0,0,0,0,0,0,0
AT1G27565,3,7,4,20,9,17,5,3,69,73,72,119
AT1G27570,0,1,0,3,0,0,0,0,1,8,4,0
AT1G27580,111,277,241,627,440,384,221,276,211,234,213,262
AT1G27595,273,743,647,2253,950,786,447,774,623,640,398,349
AT1G27600,333,524,529,1194,1205,994,554,762,478,516,626,587
AT1G27610,0,0,0,1,0,0,0,0,0,0,0,0
AT1G27620,9,8,13,35,17,18,4,6,6,5,3,12
AT1G27630,48,121,110,364,455,415,235,380,382,443,369,148
AT1G27640,23,1,0,2,0,2,0,4,0,1,15,1
AT1G27650,583,978,1047,2289,1498,1408,786,1292,723,922,895,949
AT1G27660,29,71,60,199,137,123,74,20,86,81,50,83
AT1G27670,3,25,13,56,22,9,7,74,20,32,31,16
AT1G27680,45,123,122,443,358,292,199,145,206,192,171,112
AT1G27690,74,228,204,581,309,256,164,98,127,153,144,237
AT1G27695,22,73,95,141,76,78,48,70,68,86,75,46
AT1G27700,36,98,106,332,169,139,88,61,70,65,93,131
AT1G27710,0,0,0,0,0,0,0,0,0,1,2,1
AT1G27720,13,18,31,45,23,16,6,18,6,18,17,9
AT1G27730,113,639,638,1209,323,638,101,477,184,208,156,500
AT1G27740,0,0,0,2,0,0,0,0,0,0,0,0
AT1G27750,164,530,482,1413,674,625,363,773,374,443,252,260
AT1G27752,396,661,664,1554,698,720,412,865,439,560,644,495
AT1G27760,462,941,861,2175,654,564,377,625,571,587,692,1201
AT1G27770,718,1760,1494,3856,2515,1675,1248,795,483,532,597,1005
AT1G27820,0,0,0,2,0,0,0,0,1,1,0,0
AT1G27840,149,255,241,738,368,315,170,272,158,202,260,224
AT1G27850,532,805,628,2156,985,824,524,731,653,696,757,611
AT1G27860,0,1,0,1,1,1,1,0,2,0,1,0
AT1G27870,0,0,0,0,0,0,0,0,0,0,0,0
AT1G27880,4,17,25,75,93,61,35,7,29,25,18,24
AT1G27890,2,1,1,0,0,1,0,0,0,0,1,0
AT1G27900,162,270,268,775,494,364,246,187,234,213,294,308
AT1G27910,105,242,246,664,527,444,321,379,237,232,247,410
AT1G27920,98,11,11,41,21,8,9,13,8,16,27,13
AT1G27921,28,33,34,58,36,22,21,40,29,34,17,19
AT1G27930,216,570,452,1223,1815,1479,771,538,523,567,558,931
AT1G27940,21,38,49,122,84,65,30,8,7,9,26,23
AT1G27950,561,1819,1687,3906,4037,3284,2002,868,1522,1620,2016,2467
AT1G27960,54,128,127,355,184,141,96,67,71,64,41,123
AT1G27970,104,1038,1068,2504,1485,1161,739,586,453,494,210,1249
AT1G27980,347,620,636,1473,310,237,151,406,174,194,313,309
AT1G27990,0,0,2,4,0,0,2,0,0,0,3,2
AT1G28000,0,0,0,1,0,0,0,0,0,0,0,0
AT1G28005,0,0,0,0,0,0,0,0,0,0,0,0
AT1G28010,348,654,549,1633,770,678,359,397,415,454,646,542
AT1G28020,0,0,0,0,0,0,0,0,0,0,0,0
AT1G28030,0,1,0,0,0,0,0,0,0,0,0,1
AT1G28040,0,0,2,0,0,0,0,0,1,0,1,0
AT1G28050,80,99,118,274,454,394,199,296,197,209,395,95
AT1G28060,742,688,593,1452,1298,1154,692,610,579,662,1077,531
AT1G28070,17,45,43,122,101,84,47,60,74,71,84,46
