,Control_1,Control_2,Control_3,Control_4,Mlp37347_1,Mlp37347_2,Mlp37347_3,Mlp37347_4,Mlp124499_1,Mlp124499_2,Mlp124499_3,Mlp124499_4
AT5G10336,0,8,4,9,8,3,1,1,4,4,2,4
AT5G10340,1,7,5,11,1,1,0,0,0,0,0,8
AT5G10350,437,459,444,1482,886,720,444,440,355,442,603,393
AT5G10360,948,3679,4004,10860,6493,5076,3083,3119,3396,3717,2771,5231
AT5G10370,235,419,340,977,374,337,170,341,312,354,383,344
AT5G10380,586,1129,965,951,586,356,294,178,237,236,268,570
AT5G10390,28,107,117,298,435,325,190,25,126,137,82,192
AT5G10400,134,318,356,872,1207,878,577,140,287,313,351,342
AT5G10410,14,42,29,74,32,26,15,30,43,57,85,83
AT5G10420,0,0,0,3,4,5,0,0,1,0,0,0
AT5G10430,12,39,66,71,77,32,22,128,79,123,38,83
AT5G10435,108,9,12,10,52,15,8,16,10,24,117,11
AT5G10440,8,12,15,32,28,14,8,6,8,10,6,9
AT5G10450,1761,9413,9971,26819,9033,7281,4494,17974,6970,8478,6077,10719
AT5G10455,0,0,0,0,0,0,0,0,0,0,0,0
AT5G10460,115,366,346,1072,358,250,167,380,211,236,194,239
AT5G10470,638,1583,1322,3756,1512,1365,855,322,741,774,745,1318
AT5G10480,206,895,875,1872,1568,1185,722,688,633,695,739,956
AT5G10490,584,793,871,1804,831,704,405,415,388,418,612,633
AT5G10500,0,0,0,0,0,0,0,0,0,0,0,0
AT5G10510,20,28,18,77,53,57,28,20,35,37,19,26
AT5G10520,32,88,102,190,37,47,29,66,60,42,33,97
AT5G10525,0,0,0,0,0,0,0,0,0,0,0,0
AT5G10530,0,1,4,3,4,0,3,0,3,1,0,2
AT5G10540,492,1045,848,3265,2027,1835,1059,1480,1258,1245,1109,808
AT5G10550,11,12,18,28,26,10,6,6,18,10,11,21
AT5G10560,397,832,712,1951,1441,1217,696,585,725,744,1122,736
AT5G10570,17,26,28,59,40,36,29,14,43,68,83,21
AT5G10572,0,0,0,0,0,0,0,0,0,0,0,0
AT5G10580,0,0,3,23,1,0,2,0,4,2,5,11
AT5G10590,0,0,0,0,0,0,0,0,0,0,0,0
AT5G10600,56,2,4,9,6,1,4,5,3,5,2,7
AT5G10605,9,18,28,32,12,7,3,7,6,8,11,14
AT5G10610,150,214,186,545,273,266,195,174,115,147,165,149
AT5G10620,27,53,60,171,155,131,87,31,56,59,67,56
AT5G10625,21,52,60,156,20,24,12,43,21,30,34,70
AT5G10630,112,298,239,800,474,391,237,200,212,213,230,281
AT5G10650,147,303,293,660,215,165,112,195,145,157,206,245
AT5G10660,15,9,3,22,14,10,9,8,8,8,7,9
AT5G10680,2,1,2,4,2,2,0,2,1,4,8,0
AT5G10690,149,401,351,1184,1120,931,549,325,349,332,333,455
AT5G10695,9,25,33,7,18,12,7,17,6,14,1,16
AT5G10700,25,60,71,199,136,131,80,88,56,61,48,82
AT5G10710,81,166,154,397,240,219,132,159,123,150,163,147
AT5G10720,3,1,0,7,3,2,0,1,0,1,1,0
AT5G10730,42,160,140,466,328,274,174,156,162,144,162,173
AT5G10740,223,419,477,760,253,193,111,167,121,144,224,340
AT5G10745,64,196,201,573,419,314,205,186,172,207,165,233
AT5G10750,92,186,187,394,222,223,125,137,75,97,105,258
AT5G10760,426,750,508,554,698,477,326,50,281,231,405,358
AT5G10770,114,551,358,1343,647,491,311,123,276,296,251,651
AT5G10780,175,698,732,1471,1361,1135,633,729,697,849,649,788
AT5G10790,52,131,107,361,408,360,204,161,172,183,198,126
AT5G10800,67,70,75,203,124,91,75,55,77,96,143,65
AT5G10810,64,229,259,457,413,234,204,136,161,148,162,281
AT5G10820,15,56,70,150,133,90,63,102,50,73,61,78
AT5G10830,15,46,43,141,107,115,61,31,25,41,17,54
AT5G10840,216,883,739,2156,1333,1221,633,549,522,509,490,476
AT5G10860,864,2063,1968,4918,3521,3139,1714,5673,3552,4001,4924,1857
AT5G10870,63,107,96,280,172,144,93,103,84,90,135,77
AT5G10880,0,3,4,7,8,8,3,2,1,2,2,6
AT5G10890,9,9,14,24,19,32,17,8,10,11,11,15
AT5G10900,32,64,76,237,146,136,61,85,66,64,63,43
AT5G10910,144,240,200,497,512,358,283,121,167,174,297,231
AT5G10920,98,303,264,1183,928,787,505,188,263,223,178,379
AT5G10930,164,186,167,475,151,152,78,93,156,140,417,483
AT5G10940,413,672,664,1682,836,709,433,672,461,533,675,445
AT5G10945,0,0,0,0,0,0,0,0,0,0,0,0
AT5G10946,100,132,156,338,62,44,28,117,101,101,151,105
AT5G10950,410,273,290,898,392,307,191,232,211,248,531,305
AT5G10960,725,1623,1618,5516,3147,2702,1548,1948,1053,1248,1599,1963
AT5G10965,29,20,30,55,33,30,12,13,13,11,10,26
AT5G10970,7,0,0,3,2,0,1,2,0,1,0,2
AT5G10980,311,1728,1700,4793,3139,2507,1533,1683,1514,1541,1323,2256
AT5G10990,0,0,0,7,1,1,0,0,1,0,2,8
AT5G11000,332,310,341,835,980,805,528,217,198,252,296,452
AT5G11010,107,202,190,479,260,202,135,125,169,170,98,199
AT5G11020,33,94,97,258,153,137,95,50,65,78,51,74
AT5G11030,95,272,260,584,285,210,136,114,133,141,179,175
AT5G11040,197,665,573,1747,1180,988,588,766,580,670,423,432
AT5G11050,0,1,0,0,1,0,0,0,0,0,0,0
AT5G11060,646,990,992,1950,1889,1662,1007,727,897,1060,1563,701
AT5G11070,213,441,411,1310,1240,841,618,973,408,466,365,431
AT5G11080,1,0,0,0,0,1,0,1,0,0,0,0
AT5G11090,179,475,496,1312,798,609,398,673,432,523,601,541
AT5G11100,23,21,18,66,35,30,32,12,20,11,20,21
AT5G11110,27,124,88,247,134,135,66,69,78,89,75,76
AT5G11130,0,0,0,0,0,0,0,0,0,0,0,0
AT5G11140,1,2,3,10,2,2,2,7,0,2,3,3
AT5G11150,69,107,77,258,226,233,133,187,227,269,404,84
AT5G11160,10,52,56,93,140,95,73,14,34,27,26,118
AT5G11170,844,2628,2255,6493,3774,3239,1860,1880,2098,2102,1790,2511
AT5G11180,2,1,0,1,0,1,5,0,0,1,1,0
AT5G11190,9,14,18,66,38,26,13,10,33,26,56,30
AT5G11200,432,1410,1222,3333,2197,1917,1098,980,1311,1385,1137,1549
AT5G11210,30,50,103,48,17,18,5,16,5,11,11,22
AT5G11220,0,0,0,0,0,0,0,0,0,0,0,0
AT5G11225,0,0,0,0,0,0,0,0,0,0,0,0
AT5G11230,25,67,60,251,107,96,57,25,34,43,52,74
AT5G11240,112,319,239,577,348,271,185,104,208,204,181,281
AT5G11250,172,420,264,1073,709,465,321,173,177,237,156,307
AT5G11260,151,177,172,361,68,59,43,43,34,34,59,355
AT5G11270,324,326,311,789,727,613,407,155,199,195,277,488
AT5G11280,60,289,317,782,567,457,255,404,215,274,165,421
AT5G11290,1,1,3,4,1,0,1,1,1,0,0,2
AT5G11300,9,28,23,56,63,65,41,15,39,37,14,31
AT5G11310,46,61,64,147,104,76,50,62,55,52,76,93
AT5G11320,4,3,9,21,28,18,12,5,7,15,1,14
AT5G11325,0,0,0,0,0,0,0,0,0,0,0,0
AT5G11330,321,556,548,1478,1084,879,562,253,319,354,487,608
AT5G11340,104,265,289,493,501,376,242,182,231,213,148,383
AT5G11350,112,252,265,642,372,354,160,240,230,192,166,176
AT5G11360,3,1,1,4,3,1,2,0,1,0,2,1
AT5G11370,10,1,1,2,18,4,7,2,0,2,2,0
AT5G11380,130,307,270,802,510,404,212,190,209,226,223,306
AT5G11390,263,266,256,670,302,263,147,392,198,248,365,234
AT5G11400,0,0,0,0,0,0,0,0,0,0,0,0
AT5G11410,14,16,23,53,23,27,7,7,10,17,19,15
AT5G11412,1,2,1,6,1,1,0,4,5,3,0,2
AT5G11416,1,1,1,4,4,0,0,0,1,1,3,3
AT5G11420,1382,3750,2685,9484,3463,3120,1641,3884,2520,2761,3666,5254
AT5G11425,2,1,0,1,0,2,0,1,0,0,0,0
AT5G11430,105,283,301,710,433,382,225,247,237,243,231,316
AT5G11440,0,1,2,0,2,0,0,0,0,0,0,3
AT5G11450,265,781,731,2063,2522,1972,1252,371,573,533,370,874
AT5G11460,30,61,49,148,65,63,31,32,40,62,46,63
AT5G11470,30,60,41,161,82,71,48,25,57,53,39,46
AT5G11475,0,0,0,0,0,0,0,0,0,0,0,0
AT5G11480,373,1007,856,2136,2278,1822,1305,438,739,707,625,1086
AT5G11490,499,1188,1080,2896,1733,1436,853,1365,916,995,803,779
AT5G11500,2656,2492,2801,5566,2829,2198,1451,1898,1611,1842,3092,2771
AT5G11510,42,103,78,369,389,327,180,44,139,118,33,84
AT5G11520,376,1352,1686,3511,1651,1299,811,3141,794,944,930,835
AT5G11530,436,658,559,1485,542,525,283,723,446,531,443,299
AT5G11540,21,55,28,119,22,12,12,27,26,34,34,15
AT5G11550,146,324,302,998,413,441,217,307,379,428,312,402
AT5G11560,999,2531,2286,5375,3266,2760,1667,1580,1556,1607,1284,1527
AT5G11565,0,0,0,0,0,0,0,0,0,0,0,0
AT5G11570,1,1,1,4,2,4,2,0,0,0,1,1
AT5G11580,443,536,559,1822,2071,1702,1029,971,777,832,1282,679
AT5G11590,10,6,5,25,49,41,18,6,14,16,11,97
AT5G11600,147,188,238,359,282,206,132,257,189,238,415,214
AT5G11610,47,195,139,297,187,149,68,193,214,217,275,165
AT5G11620,2,19,14,29,15,17,12,9,12,6,9,8
AT5G11630,16,118,112,304,179,121,63,48,93,82,48,166
AT5G11640,70,180,187,398,333,259,183,99,121,137,141,218
AT5G11650,250,565,642,1162,605,479,278,387,203,232,296,943
AT5G11660,0,0,0,0,0,0,0,0,0,0,0,0
AT5G11670,1067,5638,5535,13878,6785,5876,3602,2621,2970,3360,3282,5220
AT5G11680,283,592,624,1234,876,680,465,543,350,414,524,560
AT5G11690,20,101,66,233,172,135,79,34,57,51,72,97
AT5G11700,857,2195,2050,6046,3550,3082,1677,3491,1425,1733,1131,1196
AT5G11710,760,1561,1390,3270,2855,2295,1452,1267,1127,1436,1594,1207
AT5G11720,427,810,744,2016,1529,1348,771,1288,740,810,903,495
AT5G11730,56,248,199,655,322,285,176,146,188,193,160,200
AT5G11740,632,2505,2057,4658,7971,4882,3767,870,1540,2334,1900,4779
AT5G11750,27,115,95,294,199,143,99,50,102,80,80,142
AT5G11760,179,252,304,551,545,493,297,332,260,275,319,391
AT5G11770,401,1495,1503,4807,3587,2911,1702,1604,894,1024,1140,1868
AT5G11780,5,22,15,55,49,33,23,8,24,16,12,24
AT5G11790,195,399,391,1073,1220,861,627,119,312,372,523,786
AT5G11800,163,365,359,1046,780,604,354,304,298,343,261,268
AT5G11810,115,347,368,994,570,445,301,242,227,266,291,364
AT5G11820,0,1,0,1,2,0,0,0,0,0,0,0
AT5G11830,0,0,0,0,0,0,0,0,0,0,0,0
AT5G11840,193,702,731,1597,1074,963,573,705,468,494,521,603
AT5G11850,358,646,709,1757,918,685,430,452,376,450,571,474
AT5G11860,159,424,512,1006,479,416,235,330,248,270,313,360
AT5G11870,7,5,7,19,7,10,1,3,6,7,3,6
AT5G11880,242,927,744,2749,2142,1721,1061,526,803,796,582,869
AT5G11890,189,409,363,1186,1009,771,474,417,357,404,374,424
AT5G11900,179,280,283,878,435,379,224,154,160,188,283,408
AT5G11910,215,262,245,613,427,292,196,146,118,170,267,292
AT5G11920,49,93,107,127,80,75,33,7,19,13,25,80
AT5G11930,1,6,5,26,26,20,10,0,5,6,6,48
AT5G11940,3,1,3,5,12,8,7,0,3,4,2,0
AT5G11950,561,965,1054,2240,1171,1000,575,323,651,599,844,954
AT5G11960,407,644,667,1368,729,595,386,559,308,407,487,572
AT5G11970,139,164,224,179,206,140,108,57,70,64,182,263
AT5G11975,88,7,15,8,20,7,8,3,1,1,13,4
AT5G11977,0,0,0,0,0,0,0,0,0,0,0,1
AT5G11980,136,423,378,1045,791,650,390,262,338,362,306,393
AT5G11990,10,18,25,79,37,33,24,15,23,23,12,23
AT5G12000,1,0,0,0,0,0,0,0,0,0,0,0
AT5G12010,344,417,403,1151,526,445,258,380,230,241,395,660
AT5G12020,6,5,6,3,1,0,2,0,1,0,6,3
AT5G12030,8,7,29,6,0,0,1,3,0,2,5,25
AT5G12040,223,951,919,2557,1153,933,657,561,635,713,630,855
AT5G12043,0,1,0,2,0,0,0,0,0,0,1,0
AT5G12050,1126,2279,1566,6067,1536,1426,793,1681,1899,2123,3476,3314
AT5G12060,0,0,0,0,0,0,0,0,0,0,0,0
AT5G12070,0,0,0,0,0,0,0,0,0,0,0,0
AT5G12080,74,210,152,559,343,315,183,46,140,132,123,264
AT5G12090,0,0,0,0,0,0,0,0,0,0,0,0
AT5G12100,158,188,156,386,226,168,89,89,129,130,194,152
AT5G12110,172,81,60,151,252,167,148,30,34,29,66,119
AT5G12120,895,804,826,1863,1132,942,546,1344,584,743,930,479
AT5G12130,100,562,524,1323,961,786,535,179,364,309,241,448
AT5G12140,659,1785,1813,2781,3988,2693,2026,1023,1829,1936,2374,3014
AT5G12150,1026,3048,2501,6392,3495,2925,1859,1460,2163,2240,2278,2434
AT5G12170,299,699,709,1857,448,448,236,206,193,265,298,547
AT5G12180,7,6,6,4,2,0,2,7,3,2,3,1
AT5G12190,85,220,233,426,306,250,132,149,146,169,150,348
AT5G12200,241,610,631,1430,786,630,428,600,365,413,622,508
AT5G12210,186,578,544,1257,727,541,356,517,443,498,486,570
AT5G12220,111,157,119,393,199,175,118,73,122,106,186,165
AT5G12230,623,409,554,876,510,410,241,394,292,372,643,316
AT5G12235,2,2,1,20,8,1,3,2,0,4,1,3
AT5G12236,0,0,0,0,0,0,0,0,0,0,0,0
AT5G12240,69,179,179,514,379,315,200,125,118,164,239,210
AT5G12250,1236,3773,3019,9967,4819,3856,2281,3446,4474,5111,4958,2633
AT5G12260,77,310,247,711,245,194,131,252,216,269,226,175
AT5G12270,2,3,5,12,3,1,2,15,11,19,7,3
AT5G12280,4,3,2,8,8,13,6,5,6,5,7,1
AT5G12290,130,316,335,848,456,369,256,245,247,247,239,310
AT5G12300,63,56,55,115,56,40,33,22,46,39,56,25
AT5G12310,194,616,606,1420,705,577,373,406,368,414,439,587
AT5G12320,88,126,121,334,233,181,123,35,68,79,159,151
AT5G12330,20,37,35,75,39,33,9,14,46,54,23,28
AT5G12340,30,15,35,40,12,7,13,18,4,1,3,12
AT5G12350,361,637,546,1735,918,859,452,782,506,557,560,457
AT5G12360,28,25,28,59,47,28,28,9,10,20,23,25
AT5G12370,653,1619,1523,3551,2298,1969,1100,1950,1092,1294,1220,1058
AT5G12380,2,1,1,0,0,2,0,0,1,0,2,0
AT5G12390,52,116,151,383,196,129,99,192,116,122,146,156
AT5G12400,741,797,778,2256,1055,894,501,897,570,706,889,388
AT5G12410,554,410,371,919,600,539,324,464,386,364,706,489
AT5G12420,119,233,307,639,405,333,178,84,49,78,82,175
AT5G12430,409,863,718,1760,921,806,489,733,610,677,876,534
AT5G12440,198,413,344,1217,895,737,460,420,481,529,418,420
AT5G12450,0,0,1,3,0,0,0,0,0,0,0,0
AT5G12460,0,0,0,0,1,2,0,0,0,0,0,0
AT5G12470,908,2406,2098,5776,3405,2546,1656,755,1087,1114,1068,2540
AT5G12480,1041,1328,1400,2377,1156,958,610,690,556,700,1151,1053
AT5G12840,215,460,442,998,573,474,298,488,393,418,559,409
AT5G12850,239,720,635,1880,1237,970,575,532,552,623,365,510
AT5G12860,769,4036,3280,12656,9291,7960,4603,1796,1711,1865,939,3766
AT5G12870,4,23,11,32,11,14,10,4,22,14,12,13
AT5G12880,5,18,21,46,18,11,5,4,7,2,0,16
AT5G12890,298,391,416,753,406,321,197,286,168,190,360,357
AT5G12900,122,192,169,545,268,206,120,140,143,177,188,359
AT5G12910,0,0,0,0,1,0,0,0,0,0,0,0
AT5G12920,3,20,20,48,42,31,27,8,15,14,9,10
AT5G12930,60,113,203,263,127,96,69,71,64,64,54,86
AT5G12940,87,359,220,1045,205,162,101,226,319,347,317,213
AT5G12950,164,526,342,1017,1310,1204,709,803,1144,1273,1745,328
AT5G12960,0,37,24,51,109,119,63,48,76,106,105,23
AT5G12970,8,16,17,50,51,31,14,8,14,15,1,19
AT5G12980,26,145,97,449,249,219,112,66,83,72,51,164
AT5G12990,2,0,0,1,0,1,0,0,0,0,0,0
AT5G13000,978,2125,1599,6173,2898,2730,1311,1068,1353,1300,1004,1012
AT5G13010,1391,1864,1847,4413,2000,1691,1075,3265,1421,1700,2057,1077
AT5G13020,855,1149,1145,2507,1326,1153,725,865,810,873,1204,1010
AT5G13030,595,1401,1385,3154,1846,1624,1029,922,884,946,1133,1036
AT5G13050,94,189,179,519,268,262,143,206,125,171,184,201
AT5G13060,26,34,38,105,139,80,54,8,38,30,16,28
AT5G13070,95,246,302,573,321,270,148,221,135,156,184,314
AT5G13080,85,39,102,115,8,11,4,29,5,9,25,17
AT5G13090,124,295,270,728,411,354,200,163,159,176,219,343
AT5G13100,449,846,801,2049,1057,981,517,674,443,526,536,963
AT5G13110,203,486,454,1097,432,374,220,272,230,230,239,508
AT5G13120,884,1369,1427,3388,3780,3158,2021,862,873,999,1521,1385
AT5G13130,9,1,0,0,3,1,0,1,0,0,3,1
AT5G13140,261,611,637,1505,941,753,455,324,497,572,397,673
AT5G13150,0,0,1,5,2,0,0,1,1,0,3,1
AT5G13160,365,589,593,1344,652,671,384,601,367,421,481,507
AT5G13170,1,5,2,19,12,134,4,1,0,1,0,2
AT5G13180,689,1081,917,2269,1289,1214,754,2458,999,1094,1669,1629
AT5G13181,0,1,0,0,3,0,1,0,0,0,0,1
AT5G13190,238,757,938,1531,1228,843,575,478,261,332,322,713
AT5G13200,178,321,305,433,289,217,164,326,191,210,398,267
AT5G13210,44,61,100,129,120,98,67,132,44,57,134,68
AT5G13220,27,94,133,221,143,107,72,114,50,52,33,80
AT5G13225,0,0,0,0,0,0,0,0,0,0,0,0
AT5G13230,5,4,4,17,30,18,7,2,7,6,4,5
AT5G13240,83,413,385,982,474,418,256,545,211,265,288,425
AT5G13250,14,13,11,33,16,11,5,14,5,10,5,19
AT5G13260,330,693,600,1565,1111,940,584,635,524,548,587,650
AT5G13270,56,122,71,253,158,147,74,54,55,62,83,75
AT5G13280,420,821,947,2088,1218,1000,637,620,517,510,425,796
AT5G13290,30,42,57,168,126,102,56,32,41,43,55,82
AT5G13295,5,0,0,2,5,0,0,0,0,0,1,0
AT5G13300,462,703,619,1674,1347,1286,766,686,690,739,703,538
AT5G13310,127,144,134,390,251,207,130,186,121,124,183,155
AT5G13320,210,440,945,704,69,53,37,34,34,30,77,114
AT5G13330,48,75,149,136,31,39,13,220,20,36,30,68
AT5G13340,128,133,173,292,142,129,104,96,108,121,225,109
AT5G13350,0,0,0,0,0,0,0,0,0,0,0,1
AT5G13360,103,329,283,709,280,259,154,148,153,136,148,388
AT5G13370,192,509,577,942,409,362,233,781,158,199,160,310
AT5G13380,1,2,0,1,0,0,1,1,0,0,0,0
AT5G13390,264,812,651,2109,1432,1191,732,930,684,744,530,569
AT5G13400,108,391,300,849,871,682,428,204,293,361,383,535
AT5G13410,366,569,652,1495,999,847,556,474,434,466,740,476
AT5G13420,280,761,679,2273,1176,965,611,417,436,444,451,685
AT5G13430,273,1180,1023,2698,2207,1876,1187,886,858,998,628,1353
AT5G13440,363,1065,1050,3366,2114,1700,1111,744,765,883,897,1508
AT5G13450,766,2610,2705,6244,5028,3699,2612,1380,1721,1892,1428,2851
AT5G13460,251,335,346,896,431,319,211,502,449,521,579,269
AT5G13470,18,89,92,219,124,89,65,57,56,81,84,94
AT5G13480,90,272,292,657,456,362,246,251,264,307,182,174
AT5G13490,100,291,327,786,593,479,289,143,89,89,99,279
AT5G13500,249,562,510,1337,764,613,404,409,286,334,476,333
AT5G13510,136,528,551,2179,1366,1193,703,407,461,439,261,784
AT5G13520,108,207,154,548,557,546,318,157,193,183,141,157
AT5G13530,573,824,780,2355,938,901,507,807,621,695,746,496
AT5G13550,251,626,568,1213,1053,849,483,297,231,269,330,465
AT5G13560,880,1036,1035,2502,1507,1280,850,1142,780,849,1298,856
AT5G13565,0,0,1,0,1,0,0,0,0,2,2,5
AT5G13570,342,350,432,895,561,521,288,621,331,412,520,248
AT5G13580,0,7,3,33,27,18,19,3,11,13,3,15
AT5G13590,705,1228,1074,2700,1353,1176,678,1363,847,961,882,809
AT5G13600,0,2,0,0,3,1,1,0,0,1,0,1
AT5G13610,43,138,107,405,253,181,122,71,98,101,88,172
AT5G13620,0,0,0,0,0,0,0,0,0,0,0,0
AT5G13630,12237,36317,29679,111840,65056,58945,32605,17007,21526,21322,20537,26762
AT5G13640,562,1171,1056,3124,1499,1376,783,1017,784,913,1030,877
AT5G13650,3333,7348,6129,15187,8636,7342,4486,3354,3261,3820,4513,7816
AT5G13660,53,118,74,277,132,106,91,82,77,101,89,106
AT5G13670,2,0,0,0,0,0,0,0,0,0,0,0
AT5G13680,231,454,312,1087,683,599,341,256,328,332,330,403
AT5G13690,187,338,327,1134,800,644,385,349,314,340,346,261
AT5G13700,24,17,21,38,16,22,5,12,15,23,27,19
AT5G13710,1377,2540,2436,6144,5208,4330,2593,4372,1485,1935,2009,3193
AT5G13720,228,889,752,1930,1204,1041,593,635,561,618,384,841
AT5G13730,218,346,324,891,781,747,498,393,373,384,758,393
AT5G13740,424,1046,1156,2922,2013,1856,1247,1257,1100,1101,1110,849
AT5G13750,102,277,314,771,300,287,144,126,117,141,106,247
AT5G13760,316,526,551,1460,688,576,314,462,270,340,329,403
AT5G13770,2358,2634,2478,5722,2462,2098,1372,1361,1174,1456,2638,2028
AT5G13780,635,1013,1121,2092,1223,1018,593,980,684,883,563,1015
AT5G13790,12,18,26,50,35,28,18,19,15,18,9,13
AT5G13800,410,1104,1051,2995,1291,1189,656,1240,838,846,1901,880
AT5G13810,337,762,791,1907,789,629,403,585,395,419,635,845
AT5G13820,79,169,181,316,124,132,70,220,92,102,175,125
AT5G13825,0,0,1,0,0,0,0,0,1,0,0,0
AT5G13830,1,7,5,22,21,12,8,1,6,8,3,6
AT5G13840,71,125,159,370,436,360,242,102,152,137,90,78
AT5G13845,0,0,0,0,0,0,0,0,0,0,0,0
AT5G13850,449,1086,1008,2202,1602,1401,846,762,759,892,1111,1200
AT5G13860,48,115,100,233,213,167,112,95,56,62,65,98
AT5G13870,26,51,56,160,65,81,46,76,83,81,60,72
AT5G13880,9,19,18,58,28,14,17,10,16,24,16,38
AT5G13887,0,0,0,0,0,0,0,0,0,0,0,0
AT5G13890,90,219,171,619,406,357,199,215,129,192,161,209
AT5G13900,0,1,0,8,3,8,2,1,0,1,1,5
AT5G13910,2,1,0,4,3,1,0,0,1,0,1,2
AT5G13920,9,27,23,85,62,34,30,15,30,33,26,33
AT5G13930,172,1130,793,4365,3808,2991,1929,129,244,185,211,1300
AT5G13940,0,0,1,1,0,1,1,1,0,0,0,3
AT5G13950,542,1185,1065,3374,2102,1786,1036,1571,1177,1354,1103,781
AT5G13960,59,114,91,346,268,201,145,63,101,125,92,97
AT5G13970,195,270,270,560,281,248,130,227,160,198,274,263
AT5G13980,1058,1813,1594,5011,2643,2292,1340,2173,1232,1317,1624,981
AT5G13990,7,16,14,19,8,5,3,6,0,3,5,13
AT5G14000,4,10,14,39,8,12,9,10,6,16,12,26
AT5G14010,0,0,0,0,0,0,0,0,0,0,0,1
AT5G14020,1,0,0,5,0,0,0,0,0,1,0,0
AT5G14030,415,1040,1355,2050,1865,1550,997,661,737,801,701,1047
AT5G14035,0,0,0,0,0,0,0,0,0,0,0,0
AT5G14040,643,2738,2464,7511,5446,4669,2718,1238,1518,1639,1232,3481
AT5G14050,249,407,334,1122,728,624,334,249,355,342,330,630
AT5G14060,930,2219,1938,5469,3758,3081,2038,873,1415,1548,1575,2109
AT5G14070,0,16,9,71,31,14,16,27,18,21,6,29
AT5G14080,160,257,263,652,365,269,159,318,174,210,238,223
AT5G14090,105,217,171,413,365,286,151,97,114,118,88,365
AT5G14100,18,71,79,262,150,170,103,60,68,58,21,85
AT5G14105,37,95,116,257,270,167,93,65,62,60,77,138
AT5G14110,4,8,9,24,9,5,2,14,0,4,1,3
AT5G14120,1784,6003,5032,16163,18266,15575,8277,5815,1756,2169,1959,2779
AT5G14130,9,1,4,21,18,18,11,6,2,5,5,11
AT5G14140,25,88,80,190,114,127,82,52,64,59,86,88
AT5G14150,1,0,1,3,2,1,0,1,1,2,0,1
AT5G14160,0,0,0,0,1,1,0,0,0,0,0,0
AT5G14170,494,1041,1086,2508,1421,1116,687,1787,866,1053,877,665
AT5G14180,20,41,66,116,9,5,11,212,21,32,30,30
AT5G14200,270,863,740,2173,6188,4760,3240,67,408,340,364,776
AT5G14210,212,685,667,2353,1299,1094,638,300,611,621,373,788
AT5G14220,241,495,557,1317,825,679,397,368,376,421,375,381
AT5G14230,36,109,128,353,160,139,68,79,137,143,59,159
AT5G14240,230,449,475,1360,763,608,347,669,309,458,527,468
AT5G14250,134,312,248,829,441,435,221,201,212,218,322,344
AT5G14260,829,2310,2138,5930,5131,4413,2668,2308,2177,2105,2474,2044
AT5G14270,308,544,469,1132,1188,1104,608,1094,755,857,1113,522
AT5G14275,1,1,0,1,0,1,0,0,0,0,1,0
AT5G14280,10,12,14,44,66,44,25,10,15,11,18,19
AT5G14285,43,70,74,170,176,160,87,81,90,101,77,74
AT5G14290,0,0,0,0,0,0,0,0,0,0,0,0
AT5G14300,0,0,0,0,0,0,0,0,0,0,0,0
AT5G14310,64,203,168,504,263,268,173,131,136,147,153,192
AT5G14320,1283,4651,4900,10679,10316,7860,5054,4995,3442,3822,2994,4809
AT5G14330,7,13,19,60,33,11,2,12,33,13,4,21
AT5G14340,0,1,0,0,0,0,0,0,0,2,0,0
AT5G14345,0,0,0,0,0,0,0,0,0,0,0,0
AT5G14350,54,82,83,153,111,115,61,46,39,46,78,157
AT5G14360,7,23,24,70,35,25,14,23,34,36,50,9
AT5G14370,542,453,435,1048,811,746,461,365,341,396,559,454
AT5G14380,0,1,1,8,7,4,2,2,2,1,0,3
AT5G14390,209,508,457,1129,539,430,268,522,422,455,477,392
AT5G14400,16,3,12,33,14,5,5,8,6,17,5,3
AT5G14410,112,106,131,460,207,159,110,246,103,118,261,117
AT5G14420,231,664,616,1684,739,614,368,1229,623,720,488,371
AT5G14430,503,1432,1189,3229,2172,1848,1052,1189,1001,1133,900,1245
AT5G14440,406,337,344,924,437,413,287,230,199,225,430,422
AT5G14450,50,133,120,290,670,475,332,118,117,117,79,162
AT5G14460,425,669,651,1688,1354,1171,709,455,528,551,553,703
AT5G14470,26,56,64,193,56,43,27,344,39,44,70,12
AT5G14480,64,117,132,310,255,193,119,106,87,90,79,104
AT5G14490,0,0,0,0,1,1,0,0,0,0,0,0
AT5G14495,0,0,0,0,0,0,0,0,0,0,0,0
AT5G14500,159,179,195,597,376,317,173,126,192,197,281,230
AT5G14510,1,1,6,2,4,1,1,3,2,1,3,2
AT5G14515,11,0,0,3,1,0,1,0,2,0,2,2
AT5G14520,459,1124,972,2377,1432,1118,695,692,938,999,846,1243
AT5G14530,39,154,130,460,199,149,107,132,106,168,82,130
AT5G14540,479,1016,877,2177,2001,1766,1018,1285,752,841,842,468
AT5G14545,0,0,0,0,1,1,0,1,0,0,0,1
AT5G14550,20,84,70,176,349,245,183,173,150,174,151,64
AT5G14560,0,0,0,0,0,0,0,0,0,0,0,0
AT5G14565,0,0,0,0,5,2,9,0,0,0,0,0
AT5G14570,265,509,445,1071,975,770,449,827,429,496,471,642
AT5G14580,21,82,61,228,187,147,111,21,79,85,62,69
AT5G14590,258,571,518,1267,1086,1016,589,481,445,530,628,517
AT5G14600,21,95,76,175,115,86,85,18,71,54,58,134
